Long,Lat,PARCELID,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,TYPE,POOL,BOATRAMPID,NPSSITE_ID,ST_PARK_ID,OWNER,OPERATING,OP_CLASS,WEB_LINK,FSOURCE,DATASOURCE,LAT_DD,LONG_DD,MGRS,GOOGLEMAP,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,ORIG_FID
-81.52576210747968,28.526692597060936,282233310020090,GOTHA PARK,10013 PARK RIDGE GOTHA RD,GOTHA,34734,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.5266925988,-81.5257621075,17RMM4855955662,https://www.google.com/maps/place/17RMM4855955662,1,1.534,GOTHA PARK,V,2012-02-02 00:00:00,2021-11-18 00:00:00,0
-81.55652480267025,28.528390757574563,282231000000022,GEORGE BAILEY PARK,11974 ROBERSON RD,WINTER GARDEN,34787,ORANGE,NEIGHBORHOOD PARK / ATHLETIC,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.5283907593,-81.5565248037,17RMM4555055863,https://www.google.com/maps/place/17RMM4555055863,21,19.907,GEORGE BAILEY PARK,V,2012-02-02 00:00:00,2021-11-18 00:00:00,4
-81.58753955457206,28.576315765117695,272214939202580,NEWTON PARK & BOAT RAMP,29 W GARDEN AVE,WINTER GARDEN,34787,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0,OR00370XV, , ,CITY OF WINTER GARDEN,MUNICIPALITY,PUBLIC,https://public.myfwc.com/LE/boatramp/public/Ramp.aspx?FacilityID=OR00370XV,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.5763157659,-81.5875395556,17RMM4254161187,https://www.google.com/maps/place/17RMM4254161187,29,7.906,NEWTON PARK & BOAT RAMP,V,2016-06-17 00:00:00,2021-11-18 00:00:00,5
-81.60677402163205,28.541605636799744,272227000000053,TILDENVILLE PARK,202 SHONGI AVE,WINTER GARDEN,34787,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.5416056376,-81.6067740216,17RMM4064157351,https://www.google.com/maps/place/17RMM4064157351,30,4.178,TILDENVILLE PARK,V,2012-02-02 00:00:00,2021-11-18 00:00:00,6
-81.56182127708554,28.541756235698124,272225000000029,WEST ORANGE PARK,150 WINDERMERE RD,WINTER GARDEN,34787,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.5417562374,-81.5618212771,17RMM4503957347,https://www.google.com/maps/place/17RMM4503957347,33,43.832,WEST ORANGE PARK,V,2015-04-27 00:00:00,2021-11-18 00:00:00,7
-81.02231094198461,28.56249119427041,332221000000010,FORT CHRISTMAS HISTORICAL PARK,1300 FORT CHRISTMAS RD,CHRISTMAS,32709,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.5624911951,-81.022310943,17RMM9781859515,https://www.google.com/maps/place/17RMM9781859515,52,23.881,FORT CHRISTMAS HISTORICAL PARK,V,2015-04-27 00:00:00,2021-11-18 00:00:00,11
-80.99677054479062,28.576555709917432,332214000000001,ORLANDO WETLANDS PARK,25155 WHEELER RD,CHRISTMAS,32709,ORANGE,NATURE PARK,0.0, , , ,CITY OF ORLANDO,MUNICIPALITY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.5765557116,-80.9967705458,17RNM0031661073,https://www.google.com/maps/place/17RNM0031661073,53,1628.385,ORLANDO WETLANDS PARK,V,2015-04-27 00:00:00,2021-11-18 00:00:00,12
-81.56613518651668,28.705053806083036,272036000000050,ROOSEVELT NICHOLS PARK,1601 HERMIT SMITH RD,APOPKA,32712,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.7050538069,-81.5661351865,17RMM4470275440,https://www.google.com/maps/place/17RMM4470275440,54,6.277,ROOSEVELT NICHOLS PARK,V,2012-02-02 00:00:00,2021-11-18 00:00:00,13
-81.6290389318431,28.766110477418213,272008855905070,TANGERINE PARK,7101 WRIGHT AVE,MOUNT DORA,32757,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.7661104791,-81.6290389328,17RMM3859482235,https://www.google.com/maps/place/17RMM3859482235,72,2.819,TANGERINE PARK,V,2012-02-02 00:00:00,2021-11-18 00:00:00,15
-81.61964892219964,28.771586995589463,272004000000049,EAST TANGERINE PARK,6061 TERRELL RD,MOUNT DORA,32757,ORANGE,NEIGHBORHOOD PARK / MIXED USE RECREATION,0.0, , , ,ORANGE COUNTY,COUNTY,PUBLIC, ,GEOPLAN,ORLANDOPARKS AND FGDL - STATEWIDE_PARCELS10,28.7715869973,-81.6196489222,17RMM3951382837,https://www.google.com/maps/place/17RMM3951382837,73,3.227,EAST TANGERINE PARK,V,2016-06-17 00:00:00,2021-11-18 00:00:00,16
